NTC,NTCPCRcontrol,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD3901-S1-4401,HD3901-S1_4401,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.332505,-124.399209,1,1,NA,NA,NA
HD3902-S1-4400,HD3902-S1_4400,basetree_100plots,sample,1,0,NA,0,EU1,2020,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.41881,-124.349987,1,0,NA,NA,NA
HD4301-S1,HD4301-S1,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.19457,-124.3507,1,1,NA,NA,NA
HD4308-S1,HD4308-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13775,-124.16682,1,0,NA,NA,NA
HD4309-S1,HD4309-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13796,-124.16514,1,0,NA,NA,NA
HD4310-S1,HD4310-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.13193,-124.19671,1,0,NA,NA,NA
HD4311-S1,HD4311-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.12821,-124.19627,1,0,NA,NA,NA
HD4312-S1,HD4312-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.11756,-124.1955,1,0,NA,NA,NA
HD4313-S1,HD4313-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.26913,-124.28152,1,0,NA,NA,NA
HD4314-S1,HD4314-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.27436,-124.29751,0,0,NA,NA,NA
HD4315-S1,HD4315-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.28407,-124.32211,1,0,NA,NA,NA
HD4316-S1,HD4316-S1,basetree_100plots,sample,1,0,NA,0,NA1,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.27922,-124.32102,0,0,NA,NA,NA
HD4317-S1,HD4317-S1,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29568,-124.38348,1,0,NA,NA,NA
HD4318-S1,HD4318-S1,basetree_100plots,sample,1,1,pre,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.29694,-124.3813,1,0,NA,NA,NA
HD4319-S1,HD4319-S1,basetree_100plots,sample,1,0,NA,0,NA1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.18637,-124.34256,1,1,NA,NA,NA
HD4320-S1,HD4320-S1,basetree_100plots,sample,1,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.33258,-124.38381,1,0,NA,NA,NA
HD4321-S10,HD4321-S10,plots5_samples20,sample,0,0,NA,0,EU1,2018,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.32148,-124.40437,1,0,NA,NA,NA
