"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"42","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",1480,25,0.182794074003483,0.406209053341073
"43","Untreated","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1959-1",1443,37,0.182399465002014,0.405332144448921
"44","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",1459,27,0.181534438924043,0.403409864275651
"45","Untreated","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",1367,31,0.169710716190269,0.377134924867264
"46","Untreated","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum",1146,34,0.154793884445915,0.343986409879811
"47","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",1292,1,0.14721969006381,0.327154866808468
"48","Untreated","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Alkanibacter",1170,20,0.146915049475449,0.326477887723219
"49","Untreated","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41",1119,22,0.139947738610726,0.310994974690501
"50","Untreated","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",1079,35,0.129122473759745,0.286938830577211
"51","Untreated","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",920,17,0.121120720447553,0.269157156550117
"52","Untreated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",865,25,0.119458504213366,0.26546334269637
"53","Untreated","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin516",885,27,0.118846650669049,0.264103668153443
