"","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"170","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella",23,2,776789,0.00296090701593354
"171","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoactinomyces",157,12,776789,0.0202114087609377
"172","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoflavimicrobium",54,2,776789,0.00695169473306136
"173","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",16,2,776789,0.00205976140238855
"174","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13",30,3,776789,0.00386205262947853
"175","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Cellulosilyticum",8,1,776789,0.00102988070119428
"176","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella",21,5,776789,0.00270343684063497
"177","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Clostridioides",19,2,776789,0.0024459666653364
"178","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paeniclostridium",10,1,776789,0.00128735087649284
"179","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",115,5,776789,0.0148045350796677
"180","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfitobacterium",38,2,776789,0.00489193333067281
"181","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus",16,4,776789,0.00205976140238855
"182","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",3485,71,776789,0.448641780457756
"183","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobium",88,1,776789,0.011328687713137
"184","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae","YC-ZSS-LKJ147",96,1,776789,0.0123585684143313
"185","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",4389,70,776789,0.565018299692709
"186","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","KD3-10",97,11,776789,0.0124873035019806
"187","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42",321,23,776789,0.0413239631354203
"188","Bacteria","Myxococcota","Myxococcia","Myxococcales","Vulgatibacteraceae","Vulgatibacter",23,2,776789,0.00296090701593354
"189","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",11997,83,776789,1.54443484652847
"190","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis",1878,50,776789,0.241764494605356
"191","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter",633,15,776789,0.081489310481997
"192","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Minicystis",891,23,776789,0.114702963095512
"193","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter",3566,70,776789,0.459069322557348
"194","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Polyangium",7,1,776789,0.000901145613544991
"195","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus",88,13,776789,0.011328687713137
"196","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",2738,53,776789,0.352476669983741
"197","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera",4,2,776789,0.000514940350597138
"198","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",28,4,776789,0.00360458245417996
"199","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",294,29,776789,0.0378481157688896
"200","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",766,48,776789,0.0986110771393519
