"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"111","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_pectinilyticus",334,11,42350,0.78866587957497
"112","treated","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_rhizoryzae",116,6,42350,0.273907910271547
"113","treated","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella","Shimazuella_kribbensis",10,1,42350,0.0236127508854782
"114","treated","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_hominis",14,1,42350,0.0330578512396694
"115","treated","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus_fructosivorans",14,3,42350,0.0330578512396694
"116","treated","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter","Aetherobacter_rufus",459,8,42350,1.08382526564345
"117","treated","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","Singulisphaera_acidiphila",34,1,42350,0.0802833530106257
"118","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas_aquatica",176,5,42350,0.415584415584416
"119","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_mobile",374,12,42350,0.883116883116883
"120","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Reyranella_aquatilis",338,6,42350,0.798110979929162
"121","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylovirgula","Methylovirgula_ligni",60,3,42350,0.141676505312869
"122","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_geojensis",151,2,42350,0.35655253837072
"123","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_limi",339,8,42350,0.80047225501771
"124","treated","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_facile",1154,17,42350,2.72491145218418
