"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"955","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride",40,1,0.00163298632373954,0.00418714441984498
"956","Treated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Helvellaceae","Helvella","Helvella_vespertina",37,1,0.00162366157626821,0.00416323481094414
"957","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma_rivipollense",27,2,0.00162123619390038,0.00415701588179586
"958","Treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Krasilnikovozyma","Krasilnikovozyma_huempii",39,4,0.00158558878934351,0.00406561228036797
"959","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_constricta",35,1,0.00158478605388273,0.00406355398431469
"960","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_badioflavidus",12,1,0.00155965687548739,0.00399912019355742
"961","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_bryophila",40,3,0.00155132663148846,0.00397776059356017
"962","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena_sanguinolenta",16,1,0.00152482607452587,0.00390981044750225
"963","Treated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_catenatum",35,1,0.00151810887009326,0.00389258684639297
"964","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_cinerascens",35,1,0.00151810887009326,0.00389258684639297
"965","Treated","Fungi","Ascomycota","Sareomycetes","Sareales","Sareaceae","Sarea","Sarea_resinae",17,1,0.00151003730680405,0.0038718905302668
"966","Treated","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbaceae","Pseudobensingtonia","Pseudobensingtonia_fusiformis",13,1,0.00149270869215754,0.00382745818501933
"967","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Melanomma","Melanomma_japonicum",43,1,0.00148763189759557,0.00381444076306557
"968","Treated","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Coralloidiomyces","Coralloidiomyces_digitatus",46,1,0.00146590184831103,0.00375872268797699
"969","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_lapida",21,3,0.00145290873028896,0.00372540700074093
