"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1046","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",48,4,0.000981890076268936,0.00251766686222804
"1047","Treated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera",25,3,0.000969828885195968,0.00248674073127172
"1048","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps",34,1,0.000968054211035818,0.00248219028470723
"1049","Treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Naemateliaceae","Naematelia",43,2,0.00093979166460544,0.00240972221693703
"1050","Treated","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Jimgerdemannia",55,1,0.000938246332309792,0.00240575982643537
"1051","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Astrosphaeriellaceae","Astrosphaeriellaceae_gen_Incertae_sedis",19,1,0.000936421882700838,0.00240108175051497
"1052","Treated","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus",29,2,0.000935221663129151,0.00239800426443372
"1053","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tricladiaceae","Halenospora",28,1,0.000923635164110177,0.0023682952925902
"1054","Treated","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Protomerulius",65,1,0.000922038129822969,0.00236420033287941
"1055","Treated","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae","Ambispora",19,1,0.000920453444433679,0.00236013703700943
"1056","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pleuroascaceae","Pleuroascus",32,1,0.000918010212863618,0.00235387234067595
"1057","Treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporales_fam_Incertae_sedis","Polyporales_gen_Incertae_sedis",63,1,0.000893667725828416,0.00229145570725235
"1058","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis",50,1,0.000891965177679463,0.00228709019917811
"1059","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Agaricomycetes_gen_Incertae_sedis",35,2,0.000887989662752655,0.00227689657116065
"1060","Treated","Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiomycetes_ord_Incertae_sedis","Exobasidiomycetes_fam_Incertae_sedis","Exobasidiomycetes_gen_Incertae_sedis",32,1,0.000878927708196001,0.00225366079024616
"1061","Treated","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbaceae","Pseudobensingtonia",13,1,0.00087671971944969,0.00224799928064023
"1062","Treated","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces",34,1,0.000863053687016119,0.0022129581718362
"1063","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cystostereaceae","Crustomyces",30,2,0.000855285145549022,0.00219303883474108
"1064","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Discinellaceae_gen_Incertae_sedis",47,1,0.000838447267018696,0.00214986478722743
"1065","Treated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium",17,1,0.000837851158206013,0.00214833630309234
"1066","Treated","Fungi","Ascomycota","Sareomycetes","Sareales","Sareaceae","Sarea",17,1,0.000837851158206013,0.00214833630309234
"1067","Treated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Pseudopenidiella",35,3,0.000831823027457943,0.00213287955758447
"1068","Treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Sirobasidiaceae","Sirobasidium",15,1,0.000828363154406892,0.0021240080882228
