"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"100","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_flavus",246,4,2021099,0.0121715957506287
"101","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_minioluteus",3571,10,2021099,0.176686050510143
"102","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_rubrifaciens",229,2,2021099,0.0113304692150162
"103","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_rugulosus",504,9,2021099,0.0249369278793369
"104","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_subinflatus",13,1,2021099,0.000643214409586072
"105","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces","Elaphomyces_decipiens",16,1,2021099,0.000791648504105934
"106","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces","Elaphomyces_muricatus",1387,8,2021099,0.0686260296996832
"107","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces","Elaphomyces_papillatus",76,2,2021099,0.00376033039450319
"108","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae","Penicillago","Penicillago_nodositata",401,10,2021099,0.019840690634155
"109","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_diversispora",27079,73,2021099,1.33981561516779
"110","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_verticillata",17438,45,2021099,0.862797913412455
"111","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus_reessii",33,3,2021099,0.00163277503971849
"112","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron","Auxarthron_alboluteum",14,2,2021099,0.000692692441092693
"113","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron","Auxarthron_californiense",14,2,2021099,0.000692692441092693
"114","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","Chrysosporium_sulfureum",6,1,2021099,0.000296868189039725
"115","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Myriodontium","Myriodontium_keratinophilum",43,1,2021099,0.0021275553547847
"116","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae","Sclerococcum","Sclerococcum_ahtii",78,3,2021099,0.00385928645751643
"117","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria","Verrucaria_hegetschweileri",29,1,2021099,0.00143486291369201
"118","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria","Verrucaria_hydrophila",70,1,2021099,0.00346346220546346
"119","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum","Geoglossum_fallax",75,1,2021099,0.00371085236299657
"120","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum","Geoglossum_nigritum",1636,9,2021099,0.0809460595448318
"121","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Microglossum","Microglossum_griseoviride",215,5,2021099,0.0106377767739235
"122","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Trichoglossum","Trichoglossum_hirsutum",12044,9,2021099,0.595913411465742
"123","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophora","Pyxidiophora_arvernensis",68,1,2021099,0.00336450614245022
"124","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus","Cryptodiscus_epicladonia",10,1,2021099,0.000494780315066209
"125","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Pilidium","Pilidium_anglicum",151,8,2021099,0.00747118275749976
"126","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea","Rhizodermea_veluwensis",91,8,2021099,0.0045025008671025
"127","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella","Trichosporiella_multisporum",151,7,2021099,0.00747118275749976
"128","Fungi","Ascomycota","Leotiomycetes","Helotiales","Gelatinodiscaceae","Neobulgaria","Neobulgaria_koningiana",136,3,2021099,0.00672901228490044
"129","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Hyalodendriella","Hyalodendriella_bialowiezensis",59,3,2021099,0.00291920385889063
"130","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Xenopolyscytalum","Xenopolyscytalum_pinea",911,14,2021099,0.0450744867025316
"131","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Ascocoryne","Ascocoryne_cylichnium",86,5,2021099,0.0042551107095694
"132","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cudoniella","Cudoniella_clavus",35,1,2021099,0.00173173110273173
"133","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cyathicula","Cyathicula_amenti",902,27,2021099,0.0446291844189721
"134","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Infundichalara","Infundichalara_minuta",17,1,2021099,0.000841126535612555
"135","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Phaeohelotium","Phaeohelotium_geogenum",120,1,2021099,0.00593736378079451
"136","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","Scytalidium_lignicola",47,3,2021099,0.00232546748081118
"137","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","Tetracladium_marchalianum",58,2,2021099,0.00286972582738401
